# id|concept|reason for original option 2|reason for original option 3|reason for original option 4
CPN-001|scope|Attire does not grant access.|Case urgency does not establish permission.|Device familiarity does not authorize observation.
CPN-002|advocacy|A family relationship does not override this patient's wishes.|The receiving team still needs relevant clinical facts.|The visitor cannot set a capable patient's disclosure preferences.
CPN-003|conscience|Closure could conceal or worsen the break.|A note alone does not correct current contamination.|Do not rely on someone else noticing an unseen risk.
CPN-004|communication|Louder speech does not overcome a language barrier.|A child is not an appropriate substitute for qualified language support for complex consent.|The patient's understanding matters before the procedure.
CPN-005|documentation|Delayed recollection is less reliable than timely charting.|A surgeon's note does not replace nursing documentation.|Those times omit counts, medications, positioning and other nursing care.
CPN-006|handoff|A chart alone may not convey urgent concerns or invite questions.|Diagnosis alone misses the course and current risks.|Delay leaves the receiving team without needed information.
CPN-007|advocacy|It dismisses a concern the patient considers important.|Body-image concerns can be addressed before and after surgery.|The nurse should respond, while including family only with the patient's wishes.
CPN-008|advocacy|An anesthetized patient still deserves a respectful, safe environment.|Public posting breaches professionalism and may expose private information.|Retaliation escalates conflict and disrupts care.
CPN-009|scope|Similar controls do not prove identical operation or risk.|Vendors can teach about products but do not direct nursing care.|Use and relevant findings still require documentation.
CPN-010|scope|A request does not change legal scope or competence.|Delegating an unauthorized act to a student does not make it safe.|False routine charting conceals the scope issue.
CPN-011|quality|A near miss should be preserved for review, even without injury.|Disclosure and reporting follow policy; waiting until discharge alone is insufficient.|Delay loses details and defers prevention.
CPN-012|advocacy|Beliefs and preferences vary within every group.|Explore a safe accommodation rather than dismissing it.|A capable patient can speak for themselves.
CPN-013|advocacy|Continuing the argument exposes the patient to distress and risk.|Recording alone does not de-escalate the immediate situation.|The patient should not mediate staff conflict.
CPN-014|specimens|Container suitability matters but does not establish research authorization.|Preservation choice does not replace consent and protocol checks.|Transport requires authorized chain of handling.
CPN-015|quality|Consent changes require the patient's informed process, not a QI shortcut.|Surgical counts require accountable clinical personnel.|Suppressing reports hides safety signals.
CPN-016|communication|No clinician can guarantee a painless recovery.|Teaching is useful before surgery and in immediate recovery.|Teaching should fit the patient and procedure.
CPN-017|advocacy|Dignity continues under anesthesia.|Unnecessary observation increases exposure without benefit.|A public hallway does not protect confidential information.
CPN-018|scope|Sales experience is not clinical authorization.|Anesthesia does not remove scope and consent obligations.|Speed cannot justify an unauthorized task.
CPN-019|handoff|A preference card describes setup, not this patient's skin findings.|Staff numbers do not describe the patient's condition.|Marketing material is irrelevant to this patient's recovery risk.
CPN-020|documentation|Deleting the record erases the audit trail.|Another clinician must not chart under a false identity.|Known errors should be corrected transparently.
CPN-021|checklist|That is the Time Out phase.|Closure is near Sign Out, not Sign In.|Recovery discharge occurs after the OR checklist.
CPN-022|checklist|The surgeon's name alone does not confirm the patient and planned procedure.|Discharge timing is not the Sign In identity check.|Counts are addressed later, particularly at Sign Out.
CPN-023|checklist|Specimens are confirmed at Sign Out.|A recovery bed is not the anesthesia equipment check.|Count completion is a Sign Out item.
CPN-024|checklist|An order does not verify a working device on this patient.|A discharge prescription is unrelated to induction readiness.|A bed alarm does not monitor oxygenation.
CPN-025|checklist|This is far below the adult threshold on the WHO form.|This is also below the stated adult threshold.|This exceeds the prompt's threshold; it is not the trigger value.
CPN-026|checklist|This is below the WHO pediatric threshold.|This is above the checklist's stated trigger.|This is much higher than the checklist's trigger.
CPN-027|checklist|Risk prompts preparation, not automatic cancellation in every case.|A count does not address airway management.|Specimen preservation does not manage aspiration risk.
CPN-028|checklist|This precedes the operation, but is not the Time Out immediately before incision.|Specimen fixation is not the preincision pause.|This is after the patient leaves the OR.
CPN-029|checklist|A nurse alone cannot share the whole team's anticipated risks.|The anesthetist and nurse must participate too.|Recovery staff are not the intraoperative team for this pause.
CPN-030|checklist|Room number is not a reliable patient or site identifier.|Purchase paperwork does not verify the incision site.|Discharge planning does not verify patient or operation.
CPN-031|ssi|Prophylaxis is timed around surgery, not routinely prescribed for a month.|Giving it after closure misses the intended preincision timing.|Some procedures warrant prophylaxis; omission is not universal.
CPN-032|checklist|Incision length alone omits critical steps, duration and blood loss.|The next day's schedule is not a current critical event.|A vendor's name does not describe the surgical risk.
CPN-033|checklist|Break coverage is not the sterility and equipment check.|Paint colour has no bearing on current equipment readiness.|Address does not confirm sterile indicators.
CPN-034|checklist|Imaging must be available when needed for the operation.|The first count does not replace a preincision imaging check.|The team must verify needed imaging regardless of a request.
CPN-035|checklist|This is well before the operation.|Before induction is Sign In.|A follow-up visit is too late to resolve OR counts or equipment issues.
CPN-036|counts|Linen inventory is not the surgical count.|Medication stock is a different safety process.|Staff numbers do not account for instruments, sponges and needles.
CPN-037|specimens|Delayed labelling risks mix-ups.|The OR team must verify identity before handoff.|Room number is not an adequate patient identifier.
CPN-038|handoff|Scheduling does not replace clinical recovery discussion.|Transport may need instructions but does not replace the three clinical disciplines.|A representative is not accountable for the recovery plan.
CPN-039|counts|An earlier count cannot resolve a new discrepancy.|Closing may leave an item unaccounted for.|Falsifying a count conceals a potential retained item.
CPN-040|counts|The personnel change warrants its own count.|A shift-end count is too late to establish handover accountability.|The ongoing case still requires a documented count.
CPN-041|counts|Discharge is too late for an intraoperative discrepancy.|Before arrival alone does not verify used items.|Specimen receipt is not the surgical closing phase.
CPN-042|counts|A count that was not done cannot be recorded as normal.|Discarding items later does not establish what remains in the patient.|Emergency conditions alter the response; they do not erase the risk.
CPN-043|counts|Loading supports retrieval, not altered absorption.|Small-sponge control complements, rather than replaces, counts.|Loading an instrument is not a sterilization process.
CPN-044|positioning|Staff height is not a patient pressure-risk assessment.|Room number does not describe anatomy or mobility.|Music preference does not address immobility or comorbidity.
CPN-045|positioning|The calendar day does not create pressure injury risk.|Drape colour does not determine pressure exposure.|A set name does not measure time or position.
CPN-046|positioning|The scheduler does not assess final patient position.|A vendor does not replace the clinical team's assessment.|Recovery clerical staff are not the positioning team.
CPN-047|positioning|Convenience does not account for anatomy and pressure risk.|Another patient's supports may not fit this one.|Turnover speed cannot override positioning safety.
CPN-048|positioning|The next case does not determine this patient's transfer readiness.|A surgeon's departure time is not a physiological assessment.|Route planning alone does not assess skin or safe transfer equipment.
