C1|Safety|B|The initial sponge count is correct. A cavity is being closed, but the closing count is short one sponge. What is the first safety response?|Pause closure, recount and notify the surgeon|Record the expected number as correct|Search only after skin closure|Skip documentation because the initial count was correct|CNA's discrepancy process includes recount and surgeon notification.
C1|Safety|B|The team cannot resolve the sponge discrepancy after recount. Which next action fits the blueprint?|Follow the imaging and documentation pathway|Accept the initial count as final|Ask the patient after recovery|Replace the missing sponge with another counted sponge|Imaging and documentation are part of discrepancy resolution.
C1|Ethical & professional|B|The count discrepancy is resolved, but the event affected care. How should it appear in the record?|Accurately and contemporaneously according to policy|Not at all because it was resolved|Only in a personal notebook|As a normal count without context|Count events and actions belong in accurate documentation.
C1|Safety|W|At Sign Out, which statement should be verbally confirmed?|Instrument, sponge and needle count completion|Only the patient's discharge address|Only the time of the next operation|Only the final dressing brand|The WHO Sign Out requires count confirmation.
C2|Perioperative phases & anesthesia|B|In holding, the nurse finds that the patient's consent specifies left knee but the list says right knee. What is the priority?|Stop progression and reconcile site and consent|Follow the schedule because it was printed last|Ask the device representative to choose|Mark both knees and proceed|Preoperative verification includes consent and surgical site.
C2|Safety|W|Before anesthesia induction, which WHO Sign In confirmation involves the patient?|Identity, site, procedure and consent|Completion of the closing count|Specimen label readback|Postoperative equipment problems|These patient confirmations are in Sign In.
C2|Safety|W|After the discrepancy is resolved, what should the team verbally reconfirm just before incision?|Patient name, procedure and incision site|Only the room number|Only the surgeon's initials|Only the patient transport route|The WHO Time Out repeats the critical patient and site confirmation.
C2|Ethical & professional|B|If the discrepancy revealed a system error that nearly led to wrong-site surgery, what should occur?|Report and review it through the appropriate process|Delete the erroneous schedule with no report|Discuss it only outside the hospital|Wait until the next credential renewal|CNA names reporting situations requiring disclosure and quality improvement.
C3|Infection prevention|B|A wrapped instrument set arrives with a torn barrier. What should the scrub team do?|Reject it and obtain verified sterile instruments|Open it because the tray looks clean|Place a sterile towel over the tear|Rinse the instruments with saline|A compromised package cannot support an aseptic field.
C3|Infection prevention|D|A replacement critical instrument is heat stable. Which processing category is required?|Sterilization, with steam when compatible and validated|Low-level surface disinfection|Only a water rinse|No processing if it is new|Critical instruments entering sterile tissue require sterilization.
C3|Infection prevention|D|The internal chemical indicator suggests inadequate processing. What is the correct disposition?|Do not use the set; investigate and reprocess appropriately|Use it because the external tape changed|Repeat the colour check after the incision|Place the indicator beside the patient|An unsatisfactory internal indicator means the set should not be used.
C3|Managing resources|B|The missing sterile set threatens case readiness. What should be coordinated?|A safe alternative, timing and team communication|Use the failed set without informing anyone|Move the patient before the equipment plan is resolved|Change the implant plan alone|Resource planning must preserve the verified sterile supply.
C4|Safety|F|A head and neck case uses supplemental oxygen, alcohol prep and electrosurgery. Which combination creates fire risk?|Oxidizer, fuel and ignition source together|Three forms of monitoring|Three types of sterile supplies|Three patient identifiers|Oxygen, prep and electrosurgery map to the fire triangle.
C4|Safety|B|Before electrosurgery near the prepared field, what check matters?|The alcohol prep has dried according to instructions|The room lights are dimmed|The count sheet is blank|The oxygen flow is increased automatically|Prep dry time and flammability are ESU safety considerations.
C4|Safety|B|Where should the inactive electrosurgical pencil be kept?|In its designated holster|Under the drapes|On the patient's gown|Beside pooled prep solution|Active-electrode isolation reduces inadvertent ignition or injury.
C4|Exceptional clinical events|F|The team identifies a near fire during setup. What is the best immediate action?|Pause and control oxygen, ignition and fuel hazards together|Proceed because no flame appeared|Add more dry gauze|Ignore the concern after Time Out|Fire prevention is coordinated control of the triangle.
C5|Perioperative phases & anesthesia|B|A bariatric patient is scheduled for a prolonged laparoscopic procedure. What should the preoperative plan include?|Individualized positioning and safe transfer equipment|Only the surgeon's preferred instruments|Only the case start time|No extra assessment if anesthesia is planned|The blueprint addresses bariatric considerations and safe positioning and transfer.
C5|Safety|B|Which factor increases this patient's intraoperative pressure injury risk?|Prolonged time in one position|The printed date on the schedule|The room's wall colour|The brand of surgical marker|Case duration and positioning devices are recognized risks.
C5|Perioperative phases & anesthesia|B|The laparoscopy converts to open surgery. What should the circulator anticipate?|Additional instruments, supplies and updated care plan|Fewer safety checks|Cancellation of the closing count|No change to documentation|CNA explicitly describes conversion requiring adaptation.
C5|Perioperative phases & anesthesia|B|Before transfer to recovery, what should be assessed and communicated?|Skin, thermoregulation, pain and transfer needs|Only the procedure's billing code|Only the instrument tray inventory|Only the next case's start time|Postoperative assessment and safe transfer needs follow the patient.
C6|Exceptional clinical events|B|During anesthesia a patient develops an unexpected severe dysrhythmia. What should guide the response?|Rapid team communication and the cardiac event protocol|Only the regular Sign Out checklist|The next case's equipment plan|A delayed note after transfer|CNA names cardiac events and protocol-based response.
C6|Managing resources|B|The response needs extra personnel and emergency equipment. What should the circulator coordinate?|Staff, equipment and room resources by clinical priority|Only the scheduled break coverage|Only new specimen labels|Only the next patient transport|Resource planning includes staffing and equipment availability.
C6|Ethical & professional|B|Once stabilized, how should the event be handed off?|Provide a structured account of what happened and ongoing concerns|Say only that surgery is over|Leave the receiving team to discover it in the chart|Wait for a family member to explain it|Care transitions require relevant information and accountability.
C6|Exceptional clinical events|B|What should be entered in the nursing record?|The event, interventions and relevant times accurately|A reconstructed normal course|Only the surgeon's diagnosis|Nothing if the patient survives|Complete, contemporaneous event documentation supports continuity.
