Ethical & professional|B|A visitor says they are a device representative and asks to observe an operation. What should the circulating nurse verify first?|Permission to enter the surgical suite|Whether the visitor owns scrubs|Whether the case is elective|Whether the surgeon has used that device before|The CNA competency includes verifying authorization for visitors, including industry representatives.
Ethical & professional|B|A patient asks that a family member not hear details of the procedure. What should guide the handoff?|Protect the patient's confidentiality while sharing necessary care information|Tell every family member because surgery is high risk|Omit the information from all team handoffs|Ask the visitor to decide what may be shared|Advocacy includes privacy and confidentiality, while care transitions still require relevant clinical information.
Ethical & professional|B|A nurse notices a break in sterile technique that no one else has seen. Which action best reflects surgical conscience?|Speak up and correct the break|Wait until the wound is closed|Document it without interrupting the case|Assume the scrub person will notice|Surgical conscience calls for acting on an observed risk even when unnoticed.
Ethical & professional|B|A patient has limited English proficiency during preoperative teaching. What is the best response?|Arrange effective language support and check understanding|Speak louder in English|Ask the accompanying child to interpret complex consent|Skip teaching until recovery|The blueprint requires addressing communication needs, including language barriers.
Ethical & professional|B|Which record best meets the blueprint's documentation competency?|A timely account of count results, positioning, medications, specimens and key events|A summary written several days later from memory|Only the surgeon's operative note|A note limited to incision and closing times|Documentation should be complete, accurate and contemporaneous.
Ethical & professional|B|During transfer to recovery, what is the perioperative nurse's priority communication task?|Give a structured handoff of relevant care and accountability|Send the chart without verbal communication|Discuss only the diagnosis|Wait for the next shift to relay concerns|CNA identifies communication and accountability at care transitions.
Ethical & professional|B|A patient expresses fear about altered body image after surgery. Which response fits perioperative advocacy?|Acknowledge the concern and incorporate psychosocial support|Reassure them that appearance is unimportant|Avoid the topic because it is postoperative|Ask the patient to discuss it only with family|The competency explicitly includes psychosocial needs such as altered body image.
Ethical & professional|B|A colleague makes a demeaning remark during a case. What is the best professional response?|Address and report the behaviour through appropriate processes|Ignore it because the patient is anesthetized|Post about it on social media|Retaliate in front of the team|The blueprint includes a respectful workplace and reporting unprofessional behaviour.
Ethical & professional|B|A new technology is introduced in the OR. What is the nurse's safest starting point?|Identify learning needs and obtain training before independent use|Assume familiar controls work identically|Let a vendor direct nursing care|Avoid documenting its use|CNA identifies adaptation to technology and continuing learning within scope.
Ethical & professional|B|A surgeon asks a nurse to perform a task outside their authorized scope. What should the nurse do?|Clarify the request and remain within applicable scope and competence|Perform it if the surgeon insists|Ask a student to do it|Document it as a routine nursing task|Scope is governed by provincial or territorial licensure and competence.
